"","features","coef"
"1","AID_Grants..excluding.technical.cooperation..BoP..current.US..",1636.21679218051
"2","AID_Net.bilateral.aid.flows.from.DAC.donors..Australia..current.US..",10941.7071652325
"3","AID_Net.bilateral.aid.flows.from.DAC.donors..Austria..current.US..",17410.904545625
"4","AID_Net.bilateral.aid.flows.from.DAC.donors..Switzerland..current.US..",5981.8043336915
"5","AID_Net.bilateral.aid.flows.from.DAC.donors..Italy..current.US..",4827.71029923479
"6","AID_Net.bilateral.aid.flows.from.DAC.donors..Japan..current.US..",2336.0165704236
"7","AID_Net.bilateral.aid.flows.from.DAC.donors..Netherlands..current.US..",15477.7806440341
"8","AID_Net.bilateral.aid.flows.from.DAC.donors..Sweden..current.US..",2253.26998205114
"9","AID_Net.bilateral.aid.flows.from.DAC.donors..Total..current.US..",2511.7388798805
"10","AID_Net.bilateral.aid.flows.from.DAC.donors..United.States..current.US..",122980.764264687
"11","AID_Net.official.flows.from.UN.agencies..WFP..current.US..",2981.80223658831
"12","AID_Net.official.development.assistance.and.official.aid.received..current.US..",3413.46471342343
"13","AID_Net.official.development.assistance.received..constant.2018.US..",8771399004.92385
"14","AID_Net.ODA.received.per.capita..current.US..",2672633683.80318
