,features,coef
1,AID_Grants..excluding.technical.cooperation..BoP..current.US..,1636.216792
2,AID_Net.bilateral.aid.flows.from.DAC.donors..Australia..current.US..,10941.70717
3,AID_Net.bilateral.aid.flows.from.DAC.donors..Austria..current.US..,17410.90455
4,AID_Net.bilateral.aid.flows.from.DAC.donors..Switzerland..current.US..,5981.804334
5,AID_Net.bilateral.aid.flows.from.DAC.donors..Italy..current.US..,4827.710299
6,AID_Net.bilateral.aid.flows.from.DAC.donors..Japan..current.US..,2336.01657
7,AID_Net.bilateral.aid.flows.from.DAC.donors..Netherlands..current.US..,15477.78064
8,AID_Net.bilateral.aid.flows.from.DAC.donors..Sweden..current.US..,2253.269982
9,AID_Net.bilateral.aid.flows.from.DAC.donors..Total..current.US..,2511.73888
10,AID_Net.bilateral.aid.flows.from.DAC.donors..United.States..current.US..,122980.7643
11,AID_Net.official.flows.from.UN.agencies..WFP..current.US..,2981.802237
12,AID_Net.official.development.assistance.and.official.aid.received..current.US..,3413.464713
13,AID_Net.official.development.assistance.received..constant.2018.US..,8771399005
14,AID_Net.ODA.received.per.capita..current.US..,2672633684
15,ECONOMIC_Fertilizer.consumption..kilograms.per.hectare.of.arable.land..x,13800709.42
16,ECONOMIC_Agricultural.land..sq..km..x,77.19639004
17,ECONOMIC_Agricultural.land....of.land.area..x,868097.6649
18,ECONOMIC_Arable.land....of.land.area..x,844232.9635
19,ECONOMIC_Land.area..sq..km..x,229728.9838
20,ECONOMIC_Cereal.production..metric.tons..x,5332109206
21,ECONOMIC_Crop.production.index..2014.2016...100..x,1959525790
22,ECONOMIC_Food.production.index..2014.2016...100..x,360613360.6
23,ECONOMIC_Cereal.yield..kg.per.hectare..x,197.3022729
24,ECONOMIC_Agriculture..forestry..and.fishing..value.added..current.US...x,83214000440
25,ECONOMIC_Rural.population.growth..annual....x,36266392618
26,ECONOMIC_Rural.population....of.total.population..x,609.5899553
27,ECONOMIC_Technical.cooperation.grants..BoP..current.US...x,923.4326144
28,ECONOMIC_Net.official.flows.from.UN.agencies..UNDP..current.US..,4702.469095
29,ECONOMIC_Net.official.flows.from.UN.agencies..WFP..current.US..,327.7425513
30,ECONOMIC_Net.ODA.received....of.gross.capital.formation.,49259027974
31,ECONOMIC_Net.ODA.received....of.imports.of.goods..services.and.primary.income.,1622653216
32,ECONOMIC_Net.ODA.received.per.capita..current.US...x,1687274883
33,ECONOMIC_Communications..computer..etc.....of.service.imports..BoP..x,902.8963833
34,ECONOMIC_Insurance.and.financial.services....of.service.imports..BoP..x,1.126265313
35,ECONOMIC_Goods.imports..BoP..current.US...x,70.95415289
36,ECONOMIC_Service.imports..BoP..current.US...x,1808.142706
37,ECONOMIC_Travel.services....of.service.imports..BoP..x,1046.857737
38,ECONOMIC_Net.primary.income..BoP..current.US..,48.46006656
39,ECONOMIC_Net.trade.in.goods.and.services..BoP..current.US...x,4.100483353
40,ECONOMIC_Net.errors.and.omissions..BoP..current.US..,130.7046359
41,ECONOMIC_Foreign.direct.investment..net..BoP..current.US...x,184.1790579
42,ECONOMIC_Portfolio.investment..net..BoP..current.US...x,54.57708162
43,ECONOMIC_Reserves.and.related.items..BoP..current.US..,84.02060906
44,ECONOMIC_Net.capital.account..BoP..current.US..,1397499211
45,ECONOMIC_Primary.income.receipts..BoP..current.US..,21.70623078
46,ECONOMIC_Exports.of.goods.and.services..BoP..current.US...x,16031451839
47,ECONOMIC_Service.exports..BoP..current.US...x,1563.142712
48,ECONOMIC_Exports.of.goods..services.and.primary.income..BoP..current.US...x,1888743000
49,ECONOMIC_Transport.services....of.service.exports..BoP..x,401050418
50,ECONOMIC_Portfolio.equity..net.inflows..BoP..current.US...x,38.99397775
51,ECONOMIC_Secondary.income.receipts..BoP..current.US..,9.548602724
52,ECONOMIC_Personal.transfers..receipts..BoP..current.US...x,25.17442828
53,ECONOMIC_Personal.remittances..received..current.US...x,16630046612
54,ECONOMIC_External.debt.stocks..total..DOD..current.US...x,1493796921
55,ECONOMIC_Short.term.debt....of.exports.of.goods..services.and.primary.income..x,1619438779
56,ECONOMIC_Total.debt.service....of.exports.of.goods..services.and.primary.income..x,9490794409
