"","features","coef"
"1","SOCIAL_Adolescent.fertility.rate..births.per.1.000.women.ages.15.19..x",147306438488.277
"2","SOCIAL_Population.in.largest.city",85581108260.1292
"3","SOCIAL_Population.in.the.largest.city....of.urban.population.",238516.524181385
"4","SOCIAL_Population.in.urban.agglomerations.of.more.than.1.million....of.total.population..x",104347024218.382
"5","SOCIAL_Urban.population.growth..annual....x",72991.3158956985
"6","SOCIAL_School.age.population..pre.primary.education..male..number.",695394.354486183
"7","SOCIAL_School.age.population..last.grade.of.primary.education..female..number.",32965.3273594304
"8","SOCIAL_School.age.population..primary.education..female..number.",881.903366156895
"9","SOCIAL_School.age.population..primary.education..both.sexes..number.",1725.75684716829
"10","SOCIAL_School.age.population..primary.education..male..number.",375006.302549203
"11","SOCIAL_School.age.population..lower.secondary.education..female..number.",4032.94702347108
"12","SOCIAL_School.age.population..lower.secondary.education..both.sexes..number.",7953.80346079532
"13","SOCIAL_School.age.population..secondary.education..female..number.",1528.83506496999
"14","SOCIAL_School.age.population..secondary.education..both.sexes..number.",3027.04373313987
"15","SOCIAL_School.age.population..upper.secondary.education..female..number.",2298.24942416522
"16","SOCIAL_School.age.population..upper.secondary.education..both.sexes..number.",4561.34548207853
"17","SOCIAL_School.age.population..tertiary.education..female..number.",1104.00795200068
"18","SOCIAL_School.age.population..tertiary.education..both.sexes..number.",2221.72372828662
"19","SOCIAL_Population.of.the.official.entrance.age.to.primary.education..female..number.",6494.58769698734
"20","SOCIAL_Population.ages.0.14....of.total.population..x",99305659531.0638
"21","SOCIAL_Number.of.infant.deaths..male.x",949475.235563022
"22","SOCIAL_Number.of.under.five.deaths..male.x",2368801321.02251
"23","SOCIAL_Women.Business.and.the.Law.Index.Score..scale.1.100.",1726673213.12622
"24","SOCIAL_Adolescent.fertility.rate..births.per.1.000.women.ages.15.19..y",630064522.196221
"25","SOCIAL_Mortality.rate..adult..male..per.1.000.male.adults..x",13014078225.2895
"26","SOCIAL_Fertility.rate..total..births.per.woman..x",1613486458.97573
"27","SOCIAL_Survival.to.age.65..female....of.cohort..x",1867194943.4673
"28","SOCIAL_Age.population..age.00..female..interpolated",73032.9867170353
"29","SOCIAL_Age.population..age.01..female..interpolated",9091.99727359119
"30","SOCIAL_Age.population..age.03..male..interpolated",62549.7803837294
"31","SOCIAL_Age.population..age.04..male..interpolated",132229.812392534
"32","SOCIAL_Age.population..age.05..male..interpolated",6782339.97043943
"33","SOCIAL_Number.of.under.five.deaths",10772508.6101837
"34","SOCIAL_Number.of.neonatal.deaths",815691631.565428
"35","SOCIAL_Mortality.rate..under.5..per.1.000.live.births..x",47483970.8768203
"36","SOCIAL_Mortality.rate..under.5..male..per.1.000.live.births.",5536575534.81245
"37","SOCIAL_Birth.rate..crude..per.1.000.people.",7388417364.84531
"38","SOCIAL_Mortality.rate..infant..male..per.1.000.live.births.",3922925013.38403
"39","SOCIAL_Fertility.rate..total..births.per.woman..y",3343814183.8526
"40","SOCIAL_Survival.to.age.65..female....of.cohort..y",2498152155.62587
"41","SOCIAL_Population.ages.05.09..male....of.male.population.",282385403431.536
"42","SOCIAL_Population.ages.15.19..female....of.female.population.",13822640670.0442
"43","SOCIAL_Population.ages.15.64..female....of.female.population.",1023.84648710445
"44","SOCIAL_Population.ages.15.64..male....of.male.population.",3242.14244736049
"45","SOCIAL_Population.ages.15.64....of.total.population..y",216332000990.376
"46","SOCIAL_Population.ages.25.29..female....of.female.population.",6971949891.13999
"47","SOCIAL_Population.ages.30.34..female....of.female.population.",9890726763.10284
"48","SOCIAL_Population.ages.35.39..male....of.male.population.",295110747890.773
"49","SOCIAL_Population.ages.40.44..male....of.male.population.",1156446312905.17
"50","SOCIAL_Population.ages.45.49..male....of.male.population.",181743158699.371
"51","SOCIAL_Population.ages.55.59..male....of.male.population.",468165518233.515
"52","SOCIAL_Population.ages.60.64..female....of.female.population.",60014081990.0855
"53","SOCIAL_Population.ages.60.64..male....of.male.population.",240899543576.476
"54","SOCIAL_Population.ages.65.69..female....of.female.population.",354691252249.262
"55","SOCIAL_Population.ages.65.69..male....of.male.population.",1671269.80977761
