Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Kenya,KEN,2019,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,1456640000
Kenya,KEN,2018,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,1506390000
Kenya,KEN,2017,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,1680280000
Kenya,KEN,2016,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,1476460000
Kenya,KEN,2015,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,1535930000
Kenya,KEN,2014,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,1634140000
Kenya,KEN,2013,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,1920750000
Kenya,KEN,2012,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,1868980000
Kenya,KEN,2011,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,1594540000
Kenya,KEN,2010,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,1229150000
Kenya,KEN,2009,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,1274700000
Kenya,KEN,2008,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,1096740000
Kenya,KEN,2007,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,930700000
Kenya,KEN,2006,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,653420000
Kenya,KEN,2005,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,482580000
Kenya,KEN,2004,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,403660000
Kenya,KEN,2003,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,330290000
Kenya,KEN,2002,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,234860000
Kenya,KEN,2001,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,273640000
Kenya,KEN,2000,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,206330000
Kenya,KEN,1999,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,197550000
Kenya,KEN,1998,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,199550000
Kenya,KEN,1997,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,203250000
