Iso3,StartDate,EndDate,Area Code,Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
KEN,01/01/1970,31/12/1970,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1970,1970,LCU,1.7487,Fc
KEN,01/01/1971,31/12/1971,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1971,1971,LCU,1.8196,Fc
KEN,01/01/1972,31/12/1972,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1972,1972,LCU,1.9426,Fc
KEN,01/01/1973,31/12/1973,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1973,1973,LCU,2.1408,Fc
KEN,01/01/1974,31/12/1974,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1974,1974,LCU,2.4732,Fc
KEN,01/01/1975,31/12/1975,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1975,1975,LCU,2.8015,Fc
KEN,01/01/1976,31/12/1976,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1976,1976,LCU,3.2705,Fc
KEN,01/01/1977,31/12/1977,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1977,1977,LCU,3.8302,Fc
KEN,01/01/1978,31/12/1978,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1978,1978,LCU,3.8857,Fc
KEN,01/01/1979,31/12/1979,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1979,1979,LCU,4.1543,Fc
KEN,01/01/1980,31/12/1980,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1980,1980,LCU,4.5485,Fc
KEN,01/01/1981,31/12/1981,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1981,1981,LCU,5.0404,Fc
KEN,01/01/1982,31/12/1982,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1982,1982,LCU,5.6523,Fc
KEN,01/01/1983,31/12/1983,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1983,1983,LCU,6.3186,Fc
KEN,01/01/1984,31/12/1984,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1984,1984,LCU,6.9618,Fc
KEN,01/01/1985,31/12/1985,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1985,1985,LCU,7.5389,Fc
KEN,01/01/1986,31/12/1986,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1986,1986,LCU,8.1939,Fc
KEN,01/01/1987,31/12/1987,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1987,1987,LCU,8.6365,Fc
KEN,01/01/1988,31/12/1988,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1988,1988,LCU,9.3751,Fc
KEN,01/01/1989,31/12/1989,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1989,1989,LCU,10.1616,Fc
KEN,01/01/1990,31/12/1990,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1990,1990,LCU,11.1114,Fc
KEN,01/01/1991,31/12/1991,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1991,1991,LCU,12.3986,Fc
KEN,01/01/1992,31/12/1992,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1992,1992,LCU,14.4692,Fc
KEN,01/01/1993,31/12/1993,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1993,1993,LCU,18.0208,Fc
KEN,01/01/1994,31/12/1994,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1994,1994,LCU,21.5925,Fc
KEN,01/01/1995,31/12/1995,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1995,1995,LCU,24.4416,Fc
KEN,01/01/1996,31/12/1996,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1996,1996,LCU,26.6698,Fc
KEN,01/01/1997,31/12/1997,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1997,1997,LCU,29.7752,Fc
KEN,01/01/1998,31/12/1998,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1998,1998,LCU,31.8415,Fc
KEN,01/01/1999,31/12/1999,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",1999,1999,LCU,33.1741,Fc
KEN,01/01/2000,31/12/2000,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2000,2000,LCU,35.2115,Fc
KEN,01/01/2001,31/12/2001,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2001,2001,LCU,35.8085,Fc
KEN,01/01/2002,31/12/2002,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2002,2002,LCU,36.1494,Fc
KEN,01/01/2003,31/12/2003,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2003,2003,LCU,38.3905,Fc
KEN,01/01/2004,31/12/2004,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2004,2004,LCU,41.1268,Fc
KEN,01/01/2005,31/12/2005,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2005,2005,LCU,43.1427,Fc
KEN,01/01/2006,31/12/2006,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2006,2006,LCU,46.501,Fc
KEN,01/01/2007,31/12/2007,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2007,2007,LCU,50.2816,Fc
KEN,01/01/2008,31/12/2008,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2008,2008,LCU,57.9005,Fc
KEN,01/01/2009,31/12/2009,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2009,2009,LCU,64.6369,Fc
KEN,01/01/2010,31/12/2010,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2010,2010,LCU,65.9903,Fc
KEN,01/01/2011,31/12/2011,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2011,2011,LCU,73.1117,Fc
KEN,01/01/2012,31/12/2012,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2012,2012,LCU,79.9716,Fc
KEN,01/01/2013,31/12/2013,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2013,2013,LCU,84.1028,Fc
KEN,01/01/2014,31/12/2014,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2014,2014,LCU,90.8884,Fc
KEN,01/01/2015,31/12/2015,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2015,2015,LCU,100,Fc
KEN,01/01/2016,31/12/2016,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2016,2016,LCU,105.8496,Fc
KEN,01/01/2017,31/12/2017,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2017,2017,LCU,113.94,Fc
KEN,01/01/2018,31/12/2018,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2018,2018,LCU,118.7218,Fc
KEN,01/01/2019,31/12/2019,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2019,2019,LCU,124.1713,Fc
KEN,01/01/2020,31/12/2020,114,Kenya,22024,GDP Deflator,6180,"Value Local Currency, 2015 prices",2020,2020,LCU,130.6059,Fc
KEN,01/01/1970,31/12/1970,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1970,1970,US$,24.0355,Fc
KEN,01/01/1971,31/12/1971,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1971,1971,US$,25.0103,Fc
KEN,01/01/1972,31/12/1972,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1972,1972,US$,26.7008,Fc
KEN,01/01/1973,31/12/1973,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1973,1973,US$,29.9382,Fc
KEN,01/01/1974,31/12/1974,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1974,1974,US$,34.0323,Fc
KEN,01/01/1975,31/12/1975,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1975,1975,US$,37.4564,Fc
KEN,01/01/1976,31/12/1976,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1976,1976,US$,38.3754,Fc
KEN,01/01/1977,31/12/1977,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1977,1977,US$,45.4347,Fc
KEN,01/01/1978,31/12/1978,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1978,1978,US$,49.3566,Fc
KEN,01/01/1979,31/12/1979,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1979,1979,US$,54.5613,Fc
KEN,01/01/1980,31/12/1980,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1980,1980,US$,60.1825,Fc
KEN,01/01/1981,31/12/1981,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1981,1981,US$,54.6958,Fc
KEN,01/01/1982,31/12/1982,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1982,1982,US$,50.8076,Fc
KEN,01/01/1983,31/12/1983,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1983,1983,US$,46.6027,Fc
KEN,01/01/1984,31/12/1984,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1984,1984,US$,47.4192,Fc
KEN,01/01/1985,31/12/1985,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1985,1985,US$,45.0435,Fc
KEN,01/01/1986,31/12/1986,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1986,1986,US$,49.5797,Fc
KEN,01/01/1987,31/12/1987,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1987,1987,US$,51.5313,Fc
KEN,01/01/1988,31/12/1988,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1988,1988,US$,51.8637,Fc
KEN,01/01/1989,31/12/1989,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1989,1989,US$,48.4946,Fc
KEN,01/01/1990,31/12/1990,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1990,1990,US$,47.607,Fc
KEN,01/01/1991,31/12/1991,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1991,1991,US$,44.2519,Fc
KEN,01/01/1992,31/12/1992,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1992,1992,US$,44.0938,Fc
KEN,01/01/1993,31/12/1993,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1993,1993,US$,30.5037,Fc
KEN,01/01/1994,31/12/1994,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1994,1994,US$,37.8215,Fc
KEN,01/01/1995,31/12/1995,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1995,1995,US$,46.6585,Fc
KEN,01/01/1996,31/12/1996,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1996,1996,US$,45.8444,Fc
KEN,01/01/1997,31/12/1997,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1997,1997,US$,49.7734,Fc
KEN,01/01/1998,31/12/1998,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1998,1998,US$,51.7859,Fc
KEN,01/01/1999,31/12/1999,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1999,1999,US$,46.3125,Fc
KEN,01/01/2000,31/12/2000,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2000,2000,US$,45.3822,Fc
KEN,01/01/2001,31/12/2001,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2001,2001,US$,44.749,Fc
KEN,01/01/2002,31/12/2002,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2002,2002,US$,45.0684,Fc
KEN,01/01/2003,31/12/2003,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2003,2003,US$,49.6358,Fc
KEN,01/01/2004,31/12/2004,114,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",2004,2004,US$,50.9987,Fc
