Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Kenya,KEN,2004,"Highest marginal tax rate, corporate rate (%)",GB.TAX.CMAR.ZS,30
Kenya,KEN,2003,"Highest marginal tax rate, corporate rate (%)",GB.TAX.CMAR.ZS,30
Kenya,KEN,2002,"Highest marginal tax rate, corporate rate (%)",GB.TAX.CMAR.ZS,30
Kenya,KEN,2000,"Highest marginal tax rate, corporate rate (%)",GB.TAX.CMAR.ZS,30
Kenya,KEN,1999,"Highest marginal tax rate, corporate rate (%)",GB.TAX.CMAR.ZS,33
Kenya,KEN,1998,"Highest marginal tax rate, corporate rate (%)",GB.TAX.CMAR.ZS,35
Kenya,KEN,2008,"Internally displaced persons (number, high estimate)",VC.IDP.TOTL.HE,600000
Kenya,KEN,2007,"Internally displaced persons (number, high estimate)",VC.IDP.TOTL.HE,200000
Kenya,KEN,2006,"Internally displaced persons (number, high estimate)",VC.IDP.TOTL.HE,431000
Kenya,KEN,2005,"Internally displaced persons (number, high estimate)",VC.IDP.TOTL.HE,381924
Kenya,KEN,2004,"Internally displaced persons (number, high estimate)",VC.IDP.TOTL.HE,360000
Kenya,KEN,2003,"Internally displaced persons (number, high estimate)",VC.IDP.TOTL.HE,350000
Kenya,KEN,2002,"Internally displaced persons (number, high estimate)",VC.IDP.TOTL.HE,200000
Kenya,KEN,2001,"Internally displaced persons (number, high estimate)",VC.IDP.TOTL.HE,100000
Kenya,KEN,2008,"Internally displaced persons (number, low estimate)",VC.IDP.TOTL.LE,300000
Kenya,KEN,2019,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,2.93E+11
Kenya,KEN,2018,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,2.57E+11
Kenya,KEN,2017,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,2.00E+11
Kenya,KEN,2016,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,2.36E+11
Kenya,KEN,2015,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,88026543552
Kenya,KEN,2014,Net acquisition of financial assets (current LCU),GC.AST.TOTL.CN,13416298495
Kenya,KEN,2019,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,2.853529717
Kenya,KEN,2018,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,2.755207486
Kenya,KEN,2017,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,2.354241911
Kenya,KEN,2016,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,3.113754608
Kenya,KEN,2015,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,1.278653257
Kenya,KEN,2014,Net acquisition of financial assets (% of GDP),GC.AST.TOTL.GD.ZS,0.223462145
Kenya,KEN,2019,"Net incurrence of liabilities, total (current LCU)",GC.LBL.TOTL.CN,1.02E+12
Kenya,KEN,2018,"Net incurrence of liabilities, total (current LCU)",GC.LBL.TOTL.CN,9.90E+11
Kenya,KEN,2017,"Net incurrence of liabilities, total (current LCU)",GC.LBL.TOTL.CN,9.01E+11
Kenya,KEN,2016,"Net incurrence of liabilities, total (current LCU)",GC.LBL.TOTL.CN,6.98E+11
Kenya,KEN,2015,"Net incurrence of liabilities, total (current LCU)",GC.LBL.TOTL.CN,5.99E+11
Kenya,KEN,2014,"Net incurrence of liabilities, total (current LCU)",GC.LBL.TOTL.CN,3.32E+11
Kenya,KEN,2019,"Net incurrence of liabilities, total (% of GDP)",GC.LBL.TOTL.GD.ZS,9.913405327
Kenya,KEN,2018,"Net incurrence of liabilities, total (% of GDP)",GC.LBL.TOTL.GD.ZS,10.60003064
Kenya,KEN,2017,"Net incurrence of liabilities, total (% of GDP)",GC.LBL.TOTL.GD.ZS,10.61909275
Kenya,KEN,2016,"Net incurrence of liabilities, total (% of GDP)",GC.LBL.TOTL.GD.ZS,9.185167698
Kenya,KEN,2015,"Net incurrence of liabilities, total (% of GDP)",GC.LBL.TOTL.GD.ZS,8.706488235
Kenya,KEN,2014,"Net incurrence of liabilities, total (% of GDP)",GC.LBL.TOTL.GD.ZS,5.52297065
Kenya,KEN,2016,Net investment in nonfinancial assets (current LCU),GC.NFN.TOTL.CN,3.22E+11
Kenya,KEN,2015,Net investment in nonfinancial assets (current LCU),GC.NFN.TOTL.CN,4.94E+11
Kenya,KEN,2014,Net investment in nonfinancial assets (current LCU),GC.NFN.TOTL.CN,2.79E+11
Kenya,KEN,2016,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,4.236073389
Kenya,KEN,2015,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,7.18171948
Kenya,KEN,2014,Net investment in nonfinancial assets (% of GDP),GC.NFN.TOTL.GD.ZS,4.641207939
Kenya,KEN,2019,Net lending (+) / net borrowing (-) (current LCU),GC.NLD.TOTL.CN,-4.15E+11
Kenya,KEN,2018,Net lending (+) / net borrowing (-) (current LCU),GC.NLD.TOTL.CN,-7.63E+11
