Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Kenya,KEN,2002,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,12844
Kenya,KEN,2001,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,12568
Kenya,KEN,2000,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,12200
Kenya,KEN,1999,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,12000
Kenya,KEN,1998,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,11800
Kenya,KEN,1997,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,11600
Kenya,KEN,1996,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,11400
Kenya,KEN,1995,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,11200
Kenya,KEN,1994,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,11000
Kenya,KEN,1993,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,10800
Kenya,KEN,1992,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,10500
Kenya,KEN,1991,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,10200
Kenya,KEN,1990,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,10000
Kenya,KEN,1989,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,9800
Kenya,KEN,1988,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,9600
Kenya,KEN,1987,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,9400
Kenya,KEN,1986,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,9200
Kenya,KEN,1985,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,9000
Kenya,KEN,1984,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,8800
Kenya,KEN,1983,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,8568
Kenya,KEN,1982,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,6650
Kenya,KEN,1981,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,6399
Kenya,KEN,1980,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,6546
Kenya,KEN,1979,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,6374
Kenya,KEN,1978,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,6449
Kenya,KEN,1977,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,6186
Kenya,KEN,1976,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,5982
Kenya,KEN,1975,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,6013
Kenya,KEN,1974,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,6195
Kenya,KEN,1973,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,5721
Kenya,KEN,1972,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,6028
Kenya,KEN,1971,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,5891
Kenya,KEN,1970,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,7247
Kenya,KEN,1969,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,5998
Kenya,KEN,1968,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,4904
Kenya,KEN,1967,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,6617
Kenya,KEN,1966,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,6145
Kenya,KEN,1965,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,5729
Kenya,KEN,1964,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,5783
Kenya,KEN,1963,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,6111
Kenya,KEN,1962,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,6418
Kenya,KEN,1961,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,6422
Kenya,KEN,1967,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,5550
Kenya,KEN,1966,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,5112
Kenya,KEN,1965,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,4004
Kenya,KEN,1964,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,3210.833333
Kenya,KEN,1963,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,2670.333333
Kenya,KEN,1962,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,2016.666667
Kenya,KEN,1961,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,1850
Kenya,KEN,2018,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,15.6886569
Kenya,KEN,2017,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,22.63296897
Kenya,KEN,2016,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,29.02923966
Kenya,KEN,2015,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,28.54889828
Kenya,KEN,2014,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,42.84539138
Kenya,KEN,2013,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,38.7662
Kenya,KEN,2012,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,34.39270847
Kenya,KEN,2011,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,43.58206897
Kenya,KEN,2010,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,30.34709091
Kenya,KEN,2009,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,31.85709091
Kenya,KEN,2008,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,33.28754717
Kenya,KEN,2007,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,36.39528302
Kenya,KEN,2006,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,33.15480226
Kenya,KEN,2005,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,34.32655775
Kenya,KEN,2004,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,27.68086725
Kenya,KEN,2003,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,33.09677419
Kenya,KEN,2002,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,27.31310155
Kenya,KEN,2001,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,29.24921997
Kenya,KEN,2000,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,29.7904314
Kenya,KEN,1999,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,29.06200942
Kenya,KEN,1998,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,27.16973065
Kenya,KEN,1997,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,27.91857084
Kenya,KEN,1996,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,34.42517662
Kenya,KEN,1995,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,14.4170651
Kenya,KEN,1994,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,23.80777696
Kenya,KEN,1993,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,19.76284585
Kenya,KEN,1992,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,19.25547997
Kenya,KEN,1991,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,22.11104571
