Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Kenya,KEN,2020,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,7.025805953
Kenya,KEN,2019,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,9.403064555
Kenya,KEN,2018,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,10.15000578
Kenya,KEN,2017,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,9.434272336
Kenya,KEN,2016,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,9.219482768
Kenya,KEN,2015,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,11.35013646
Kenya,KEN,2014,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,12.26275802
Kenya,KEN,2013,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,11.89994355
Kenya,KEN,2012,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,13.08898799
Kenya,KEN,2011,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,13.38466617
Kenya,KEN,2010,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,12.90876199
Kenya,KEN,2009,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,11.17791054
Kenya,KEN,2008,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,14.44602278
Kenya,KEN,2007,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,14.4876169
Kenya,KEN,2006,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,14.92982834
Kenya,KEN,2005,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,16.19728096
Kenya,KEN,2004,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,15.6213214
Kenya,KEN,2003,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,12.79080579
Kenya,KEN,2002,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,13.55371771
Kenya,KEN,2001,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,15.06408674
Kenya,KEN,2000,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,13.68138014
Kenya,KEN,1999,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,31.14173686
Kenya,KEN,1998,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,26.95541423
Kenya,KEN,1997,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,25.8389653
Kenya,KEN,1996,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,21.04137723
Kenya,KEN,1995,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,30.16255642
Kenya,KEN,1994,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,38.35872321
Kenya,KEN,1993,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,39.69093639
Kenya,KEN,1992,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,19.85199603
Kenya,KEN,1991,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,20.20672564
Kenya,KEN,1990,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,21.44083184
Kenya,KEN,1989,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,18.41681039
Kenya,KEN,1988,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,15.90531345
Kenya,KEN,1987,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,15.62340362
Kenya,KEN,1986,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,14.70029848
Kenya,KEN,1985,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,15.3176817
Kenya,KEN,1984,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,14.90207591
Kenya,KEN,1983,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,14.33306279
Kenya,KEN,1982,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,14.99406387
Kenya,KEN,1981,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,15.69917441
Kenya,KEN,1980,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,14.96753793
Kenya,KEN,1979,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,13.43017767
Kenya,KEN,1978,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,16.48265869
Kenya,KEN,1977,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,14.7104683
Kenya,KEN,1976,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,17.07140892
Kenya,KEN,1975,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,16.93406869
Kenya,KEN,2020,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,51.65906884
Kenya,KEN,2019,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,48.37201178
Kenya,KEN,2018,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,48.82969167
Kenya,KEN,2017,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,47.47991765
Kenya,KEN,2016,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,50.33923703
Kenya,KEN,2015,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,42.39118952
Kenya,KEN,2014,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,40.05616534
Kenya,KEN,2013,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,28.21975496
Kenya,KEN,2012,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,28.95530133
Kenya,KEN,2011,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,31.19778232
Kenya,KEN,2010,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,36.49011273
Kenya,KEN,2009,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,34.9426777
Kenya,KEN,2008,"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,35.51771368
