Form Submitted,Name of Market,County,GPS Latitude,GPS Longitude,GPS Accuracy,Market Locations:  Distance to nearest Urban Centre (Km)
2015/05/07 4:41:57 PM,Solai Market,Baringo,-0.0041,35.7548,12,
2015/05/13 3:33:36 PM,Mogotio Market,Baringo,-0.0228,35.9629,9,
2015/05/14 1:40:48 PM,Radad Market,Baringo,0.2980,35.9233,11,20
2015/05/14 4:12:49 PM,Tugumoi Livestock Market,Baringo,0.1586,35.6368,13,
2015/05/14 6:41:16 PM,Marigat Market,Baringo,0.4702,35.9796,6,0
2015/05/16 1:15:18 PM,Kabarnet Market,Baringo,0.4927,35.7410,6,0
2015/05/19 10:16:12 AM,Kipsaraman Market,Baringo,0.7321,35.8315,6,
2015/05/19 12:14:17 PM,Kabartonjo Market,Baringo,0.6306,35.7952,8,15
2015/05/20 11:48:00 AM,Tenges Market,Baringo,0.3126,35.8016,8,24
2015/05/21 3:57:01 PM,Ravine  Vegetables Market,Baringo,0.0530,35.7243,9,75
2015/05/22 3:31:31 PM,Salawa Livestock Market,Baringo,0.4938,35.6569,6,
2015/05/25 12:26:06 PM,Emining Market,Baringo,0.1383,35.8849,14,30
2015/05/25 12:34:50 PM,Kabel Market,Baringo,0.3087,36.2293,14,25
2015/05/25 1:36:30 PM,Emining Market,Baringo,0.1421,35.8874,14,
2015/05/25 5:02:46 PM,Mochongoi Sale Yard,Baringo,0.3010,36.2167,13,38
2015/05/25 5:15:54 PM,Mumberes Proposed Market,Baringo,-0.0048,35.5668,5,
2015/05/26 10:15:07 AM,Kaptara Livestock Market,Baringo,0.5485,35.6466,13,45
2015/05/26 10:49:18 AM,Kaptara Market,Baringo,0.5495,35.6486,5,45
2015/05/27 11:27:47 AM,Barwessa Livestock Market,Baringo,0.7009,35.6991,8,50
2015/05/27 11:47:59 AM,Barwessa Market,Baringo,0.7008,35.6992,11,50
2015/05/05 10:41:45 AM,Bomet Mark Next to Bomet Stage,Bomet,-0.7808,35.3422,9,1
2015/05/08 1:39:34 PM,"Department of Agribusiness, Bomet County",Bomet,-0.7934,35.3395,5,3
2015/05/08 1:54:41 PM,Kapkwen Market,Bomet,-0.7867,35.3058,13,5
2015/05/08 2:01:07 PM,Kapkures Market,Bomet,-0.7868,35.3061,4,
2015/05/08 2:03:20 PM,Sigor Market,Bomet,-0.7869,35.3056,6,7
2015/05/08 3:19:36 PM,Silibwet Market,Bomet,-0.7332,35.3471,6,6
2015/05/09 12:03:04 PM,"Ndaraweta Market, near Silibwet Centre",Bomet,-0.7300,35.3459,10,1
2015/05/15 4:49:10 PM,Silibwet Market,Bomet,-0.7717,35.3414,6,7
2015/05/18 12:26:26 PM,Mulot Market,Bomet,-0.9379,35.4209,7,20
2015/05/19 12:40:27 PM,Kipreres Market Stalls,Bomet,-0.9356,35.4226,9,
2015/05/19 12:44:44 PM,Mulot Market B,Bomet,-0.9357,35.4227,8,
2015/05/19 1:49:07 PM,Mulot Market,Bomet,-0.9358,35.4224,7,10
2015/05/20 8:42:09 AM,Mulot longisa Market,Bomet,-0.9357,35.4202,13,
2015/05/20 10:25:27 AM,Mulot Cereal Market,Bomet,-0.9358,35.4204,3,20
2015/05/20 11:28:13 AM,Sunset Market,Bomet,-0.9352,35.4206,6,20
2015/05/20 11:34:55 AM,"Namelok Market Stalls, Mulot",Bomet,-0.9349,35.4205,5,
2015/05/20 12:06:34 PM,Mulot Vegetable and cereals,Bomet,-0.9358,35.4204,6,15
2015/05/20 12:07:53 PM,Tendwet Market,Bomet,-0.9368,35.4210,10,10
2015/05/20 12:25:54 PM,Mulot Market,Bomet,-0.9363,35.4208,4,15
2015/05/26 9:00:18 AM,Kapkwen Cattle Market,Bomet,-0.7863,35.3081,5,2
2015/05/26 9:07:59 AM,Kapkwen Market,Bomet,-0.7869,35.3028,4,2
2015/05/26 9:10:15 AM,Nyangores Market,Bomet,-0.7868,35.3037,5,7
2015/05/26 9:18:04 AM,Kapkwen Market,Bomet,-0.7867,35.3032,4,2
2015/05/26 9:23:26 AM,Kapkwen Market,Bomet,-0.7867,35.3031,5,5
2015/05/26 9:30:37 AM,Kapkwen Market,Bomet,-0.7869,35.3050,13,7
2015/05/26 9:31:35 AM,Kapkwen Market,Bomet,-0.7868,35.3050,6,3
2015/05/26 9:46:01 AM,Itembe Market,Bomet,-0.7870,35.3025,5,4
2015/05/26 12:57:35 PM,Chebole Market,Bomet,-0.7867,35.3035,6,15
2015/06/02 11:20:40 AM,Kapsimotwa,Bomet,-0.7867,35.3053,3,2
2015/06/02 11:29:04 AM,Kabewor Market Centre,Bomet,-0.7873,35.3039,12,2
2015/06/02 11:31:46 AM,Kapsimotwa Market,Bomet,-0.7866,35.3030,4,3
2015/06/02 12:39:57 PM,Muriot Market,Bomet,-0.7874,35.3010,8,17
2015/06/02 12:44:44 PM,Siongiroi Market,Bomet,-0.7866,35.3025,3,17
2015/06/02 12:46:57 PM,Kipsonoi Market,Bomet,-0.7868,35.3005,5,10
2015/06/02 12:57:22 PM,Igembe Market,Bomet,-0.7868,35.3043,4,17
2015/06/02 2:39:32 PM,Chebunyo Fresh Farm Produce Market,Bomet,-0.9662,35.1906,4,0
2015/06/03 9:37:50 AM,Chepsonoi,Bomet,-0.7866,35.3061,7,20
2015/06/04 10:14:37 AM,Chemagel Market,Bomet,-0.6886,35.1137,6,2
2015/06/04 10:16:25 AM,Sotik Market,Bomet,-0.6881,35.1137,7,17
2015/06/04 11:20:34 AM,Sotik Market Stalls,Bomet,-0.6881,35.1143,5,1
2015/06/04 11:23:34 AM,Proposed Sotik Cereals Market,Bomet,-0.6885,35.1122,8,
2015/06/04 11:24:17 AM,Sotik Market,Bomet,-0.6885,35.1121,8,
2015/06/04 11:26:38 AM,Chebose Market,Bomet,-0.6884,35.1122,9,15
2015/06/04 11:31:32 AM,Kaplong Market Centre,Bomet,-0.6883,35.1123,11,0
2015/06/04 11:37:01 AM,Sotik Market B Stalls,Bomet,-0.6883,35.1123,6,
2015/06/08 2:21:42 PM,Kapkelei,Bomet,-0.7938,35.1254,5,18
2015/06/08 2:32:07 PM,Kapkelei Market,Bomet,-0.7935,35.1256,5,5
2015/06/12 8:56:51 AM,"Sotik Kaplong joint Market 2, near Kobil",Bomet,-0.6891,35.1129,4,0
2015/03/23 3:35:47 PM,Bungoma county town market,Bungoma,0.5602,34.5601,9,0
2015/03/25 11:13:28 AM,Miyanga market,Bungoma,0.5652,34.3907,5,15
2015/04/21 2:14:42 PM,Chwele market,Bungoma,0.7362,34.5809,5,27
2015/05/29 8:12:02 AM,New Webuye Livestock Open Air Mkt,Bungoma,0.5989,34.7777,13,
2015/06/13 3:33:47 PM,Ndivisi Livestock Mkt,Bungoma,0.6010,34.7779,6,
2015/06/16 2:38:02 PM,Misikhu Crop Mkt,Bungoma,0.7156,34.7550,7,3
2015/03/25 1:54:37 PM,FISH MARKET.,Busia,0.4643,34.1005,9,2
2015/03/25 1:58:51 PM,POULTRY MARKET.,Busia,0.4640,34.1008,5,2
2015/03/25 2:13:35 PM,MUNICIPAL MARKET.,Busia,0.4645,34.1008,5,2
2015/03/28 3:07:59 PM,KASARANI HORTICULTURE MARKET.,Busia,0.4639,34.1003,5,2
2015/04/01 3:07:15 PM,ELUGULU MARKET.,Busia,0.3938,34.3039,4,35
2015/04/01 3:19:58 PM,ELUGULU MARKET.,Busia,0.3932,34.3040,4,35
2015/04/02 11:07:58 AM,BUTULA MARKET.,Busia,0.3417,34.3378,5,50
2015/04/02 3:02:57 PM,BUTULA MARKET.,Busia,0.3437,34.3453,5,50
2015/04/07 11:08:03 AM,BUTULA MARKET,Busia,0.3410,34.3374,5,35
2015/04/07 12:04:00 PM,OGALO MARKET.,Busia,0.3609,34.4008,4,50
2015/04/09 10:50:02 AM,NAMBALE MARKET.,Busia,0.4493,34.2553,5,30
2015/04/13 11:20:44 AM,BUYOFU MARKET.,Busia,0.4823,34.3863,11,303
2015/04/14 9:25:47 AM,NAMBALE MARKET ( POULTRY),Busia,0.4486,34.2512,5,35
2015/04/14 9:47:38 AM,SUGARCANE BUYING CENTRE.,Busia,0.4493,34.2707,7,2
2015/04/14 2:55:05 PM,AMUKURA MARKET.,Busia,0.5584,34.2681,7,30
2015/04/15 9:12:18 AM,KEMODO MARKET.,Busia,0.4680,34.1864,10,20
2015/04/15 12:10:47 PM,BUSIBWABO MARKET.,Busia,0.4108,34.2006,12,45
2015/04/15 3:09:53 PM,TANGAKONA MARKET.,Busia,0.4843,34.2194,7,20
2015/04/16 12:18:37 PM,LUPIDA MARKET.,Busia,0.5777,34.3497,4,40
2015/04/17 10:37:13 AM,LUKOLIS MARKET.,Busia,0.5803,34.2047,11,30
2015/04/17 12:17:47 PM,ASINGE MARKET.,Busia,0.5445,34.1746,5,35
2015/04/20 1:02:14 PM,FUNYULA MARKET.,Busia,0.2794,34.1181,5,15
2015/04/21 2:13:23 PM,GANGA MARKET.,Busia,0.1834,34.0782,4,30
2015/04/21 4:51:30 PM,BUKIRI MARKET.,Busia,0.2283,34.0876,14,25
2015/04/22 3:33:16 PM,NAMBOBOTO MARKET.,Busia,0.3041,34.0924,8,30
2015/04/23 9:42:17 AM,GANJALA MARKET.,Busia,0.3383,34.1373,5,27
2015/04/23 11:24:36 AM,MULWANDA MARKET.,Busia,0.3049,34.0597,6,35
2015/04/23 12:12:54 PM,MURAMBA MARKET.,Busia,0.2699,34.0574,11,40
2015/04/23 1:37:17 PM,MULUKHONI MARKET.,Busia,0.2996,34.0862,8,45
2015/04/24 12:32:41 PM,SIO PORT BEACH.,Busia,0.2237,34.0160,6,45
2015/04/24 1:30:24 PM,SIO PORT MARKET.,Busia,0.2236,34.0214,10,45
2015/04/24 3:34:07 PM,BUYUKHA BEACH.,Busia,0.1940,33.9999,13,50
2015/04/27 11:42:08 AM,BUDALANGI MARKET.,Busia,0.1361,34.0295,5,50
2015/04/28 10:50:47 AM,BULEMIA MARKET.,Busia,0.1144,34.0005,6,70
2015/04/28 2:17:47 PM,NAMBELENGE MARKET.,Busia,0.1593,34.0631,14,60
2015/04/29 10:20:52 AM,MULUKOBA BEACH.,Busia,0.1014,33.9742,5,75
2015/04/29 4:35:56 PM,PORT MARKET.,Busia,0.0965,33.9777,6,75
2015/04/30 1:08:38 PM,MARENGA BEACH .,Busia,0.0988,33.9675,6,75
2015/05/04 2:49:01 PM,MAU MAU,Busia,0.0711,33.9893,5,75
2015/05/05 9:27:10 AM,MABINJU BEACH.,Busia,0.0668,33.9921,14,78
2015/05/05 9:56:00 AM,NAMABUSI BEACH.,Busia,0.0619,33.9847,7,80
2015/05/05 11:19:08 AM,MUBWAYO MARKET.,Busia,0.0829,34.0459,9,80
2015/05/05 1:24:52 PM,BUSAGWA MARKET.,Busia,0.1061,34.0572,5,82
2015/06/15 12:01:47 PM,Mauko market.,Busia,0.4534,34.1086,7,56
2015/06/15 1:00:47 PM,Soko posta new market.,Busia,0.4594,34.1065,6,
2015/03/31 11:34:57 AM,BUMALA MARKET.,Busia,0.3037,34.2010,13,2
2015/05/11 3:02:35 PM,Chepkorio Market,Elgeyo Marakwet,0.3795,35.5415,7,40
2015/05/11 5:00:09 PM,Iten market.,Elgeyo Marakwet,0.6695,35.5091,7,
2015/05/12 3:02:17 PM,Iten market.,Elgeyo Marakwet,0.6699,35.5064,4,5
2015/05/13 9:50:38 AM,Kamwosor Market,Elgeyo Marakwet,0.1983,35.5696,4,50
2015/05/13 3:20:44 PM,Tambach market.,Elgeyo Marakwet,0.6696,35.5089,12,
2015/05/13 3:35:52 PM,Tambach Local market,Elgeyo Marakwet,0.6696,35.5090,6,10
2015/05/14 3:21:54 PM,Kapsowar Market,Elgeyo Marakwet,0.9775,35.5629,15,0
2015/05/15 4:32:55 PM,Cheptongei animal market.,Elgeyo Marakwet,0.9336,35.5144,15,35
2015/05/16 1:15:03 PM,Chembilat market,Elgeyo Marakwet,0.6706,35.5073,8,2
2015/05/19 10:33:02 AM,Kaptiei Market,Elgeyo Marakwet,0.6691,35.5068,14,1
2015/05/19 11:11:24 AM,Kipsoen Market,Elgeyo Marakwet,0.6180,35.4895,13,5
2015/05/19 3:56:02 PM,Kapchorwa Market,Elgeyo Marakwet,0.1877,35.5341,18,38
2015/05/20 12:04:44 PM,Kaptarakwa Market,Elgeyo Marakwet,0.4644,35.5410,7,0
2015/05/21 9:48:27 AM,Flax Market,Elgeyo Marakwet,0.3844,35.4812,5,
