Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Kenya,KEN,2010,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,7.8
Kenya,KEN,2005,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,13.92
Kenya,KEN,2000,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,14.16
Kenya,KEN,1995,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,8.03
Kenya,KEN,1990,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,3.47
Kenya,KEN,1985,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,1.94
Kenya,KEN,1980,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,25.34
Kenya,KEN,1975,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,41.22
Kenya,KEN,1970,Barro-Lee: Percentage of female population age 15-19 with no education,BAR.NOED.1519.FE.ZS,50.3
Kenya,KEN,2010,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,6.78
Kenya,KEN,2005,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,13.39
Kenya,KEN,2000,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,14.32
Kenya,KEN,1995,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,11.09
Kenya,KEN,1990,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,3.21
Kenya,KEN,1985,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,1.45
Kenya,KEN,1980,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,19.59
Kenya,KEN,1975,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,32.82
Kenya,KEN,1970,Barro-Lee: Percentage of population age 15-19 with no education,BAR.NOED.1519.ZS,40.9
Kenya,KEN,2010,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,18.96
Kenya,KEN,2005,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,24.57
Kenya,KEN,2000,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,28.04
Kenya,KEN,1995,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,31.35
Kenya,KEN,1990,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,37.24
Kenya,KEN,1985,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,46.37
Kenya,KEN,1980,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,58.21
Kenya,KEN,1975,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,68.31
Kenya,KEN,1970,Barro-Lee: Percentage of female population age 15+ with no education,BAR.NOED.15UP.FE.ZS,75.7
Kenya,KEN,2010,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,19.68
Kenya,KEN,2005,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,20.4
Kenya,KEN,2000,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,23.27
Kenya,KEN,1995,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,26.05
Kenya,KEN,1990,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,29.81
Kenya,KEN,1985,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,36.81
Kenya,KEN,1980,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,46
Kenya,KEN,1975,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,55.96
Kenya,KEN,1970,Barro-Lee: Percentage of population age 15+ with no education,BAR.NOED.15UP.ZS,64.5
Kenya,KEN,2010,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,8.02
Kenya,KEN,2005,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,9.46
Kenya,KEN,2000,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,10.83
Kenya,KEN,1995,Barro-Lee: Percentage of female population age 20-24 with no education,BAR.NOED.2024.FE.ZS,10.65
