Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Kenya,KEN,2015,Adequacy of benefits in extreme poor (<$1.9 a day) (%) -All Social Protection and Labor  (preT),per_allsp.adq_ep_preT_tot,11.27215767
Kenya,KEN,2005,Adequacy of benefits in extreme poor (<$1.9 a day) (%) -All Social Protection and Labor  (preT),per_allsp.adq_ep_preT_tot,43.81285477
Kenya,KEN,2015,Adequacy of benefits in extreme poor (<$1.9 a day) (%) -All Social Protection and Labor,per_allsp.adq_ep_tot,8.678229332
Kenya,KEN,2005,Adequacy of benefits in extreme poor (<$1.9 a day) (%) -All Social Protection and Labor,per_allsp.adq_ep_tot,8.07351017
Kenya,KEN,2015,Adequacy of benefits (%) -All Social Protection and Labor (preT),per_allsp.adq_pop_preT_tot,5.927103996
Kenya,KEN,2005,Adequacy of benefits (%) -All Social Protection and Labor (preT),per_allsp.adq_pop_preT_tot,18.88157463
Kenya,KEN,2015,Adequacy of benefits (%) -All Social Protection and Labor -rural,per_allsp.adq_pop_rur,7.355202198
Kenya,KEN,2005,Adequacy of benefits (%) -All Social Protection and Labor -rural,per_allsp.adq_pop_rur,13.60262585
Kenya,KEN,2015,Adequacy of benefits (%) -All Social Protection and Labor -urban,per_allsp.adq_pop_urb,4.379874229
Kenya,KEN,2005,Adequacy of benefits (%) -All Social Protection and Labor -urban,per_allsp.adq_pop_urb,31.24267387
Kenya,KEN,2015,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor (preT),per_allsp.adq_q1_preT_tot,13.88941193
Kenya,KEN,2005,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor (preT),per_allsp.adq_q1_preT_tot,63.50186157
Kenya,KEN,2015,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor -rural,per_allsp.adq_q1_rur,10.93633366
Kenya,KEN,2005,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor -rural,per_allsp.adq_q1_rur,6.498208046
Kenya,KEN,2015,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor,per_allsp.adq_q1_tot,10.17681122
Kenya,KEN,2005,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor,per_allsp.adq_q1_tot,6.976802349
Kenya,KEN,2015,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor -urban,per_allsp.adq_q1_urb,8.048989296
Kenya,KEN,2005,Adequacy of benefits in 1st quintile (poorest) (%) -All Social Protection and Labor -urban,per_allsp.adq_q1_urb,8.314603806
Kenya,KEN,2015,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor (preT),per_allsp.adq_q2_preT_tot,7.728239059
Kenya,KEN,2005,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor (preT),per_allsp.adq_q2_preT_tot,6.783746719
Kenya,KEN,2015,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor -rural,per_allsp.adq_q2_rur,8.12772274
Kenya,KEN,2005,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor -rural,per_allsp.adq_q2_rur,7.666462421
Kenya,KEN,2015,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor,per_allsp.adq_q2_tot,7.640581608
Kenya,KEN,2005,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor,per_allsp.adq_q2_tot,6.316176414
Kenya,KEN,2015,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor -urban,per_allsp.adq_q2_urb,7.101173401
Kenya,KEN,2005,Adequacy of benefits in 2nd quintile (%) -All Social Protection and Labor -urban,per_allsp.adq_q2_urb,7.191214085
Kenya,KEN,2015,Adequacy of benefits in 3rd quintile (%) -All Social Protection and Labor (preT),per_allsp.adq_q3_preT_tot,6.017153263
