Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Kenya,KEN,2010,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,16.73622131
Kenya,KEN,2000,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,16.73622131
Kenya,KEN,1990,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,16.73622131
Kenya,KEN,2010,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.002882964
Kenya,KEN,2000,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.002882964
Kenya,KEN,1990,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.002882964
Kenya,KEN,2010,Urban land area (sq. km),AG.LND.TOTL.UR.K2,4187.614746
Kenya,KEN,2000,Urban land area (sq. km),AG.LND.TOTL.UR.K2,4187.614746
Kenya,KEN,1990,Urban land area (sq. km),AG.LND.TOTL.UR.K2,4187.614746
Kenya,KEN,2020,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,93.98622131
Kenya,KEN,2019,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,90.80000305
Kenya,KEN,2018,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,87.38800049
Kenya,KEN,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,83.88960266
Kenya,KEN,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,84.30000305
Kenya,KEN,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,78.09999847
Kenya,KEN,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,68.40000153
Kenya,KEN,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,72.96216583
Kenya,KEN,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,71.15794373
Kenya,KEN,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,69.34163666
Kenya,KEN,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,58.20000076
Kenya,KEN,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,65.59999847
Kenya,KEN,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,63.86946869
Kenya,KEN,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,62.05661774
Kenya,KEN,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,60.2588501
Kenya,KEN,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,58.48184967
Kenya,KEN,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,56.72919846
Kenya,KEN,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,50.20000076
Kenya,KEN,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,53.27547836
Kenya,KEN,2001,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,51.56052017
Kenya,KEN,2000,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,49.84423447
Kenya,KEN,1999,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,48.11716843
Kenya,KEN,1998,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,47.5
Kenya,KEN,1997,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,44.61113739
Kenya,KEN,1996,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,42.82894897
Kenya,KEN,1995,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,41.0309639
Kenya,KEN,1994,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,39.22034073
Kenya,KEN,1993,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,42.5
Kenya,KEN,2017,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,28.57837427
Kenya,KEN,2016,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,28.58337727
Kenya,KEN,2015,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,28.53628017
Kenya,KEN,2014,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,28.94935013
Kenya,KEN,2013,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,28.93534528
Kenya,KEN,2012,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,29.37227988
Kenya,KEN,2011,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,28.66288466
Kenya,KEN,2010,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,28.15477084
Kenya,KEN,2005,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,27.47729884
Kenya,KEN,2000,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,28.38549871
Kenya,KEN,1995,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,28.52077778
Kenya,KEN,1990,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,28.54755209
Kenya,KEN,2017,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100
Kenya,KEN,2016,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100
Kenya,KEN,2015,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100
Kenya,KEN,2014,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100
Kenya,KEN,2013,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100
Kenya,KEN,2012,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100
Kenya,KEN,2011,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100
Kenya,KEN,2010,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100
Kenya,KEN,2005,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100
Kenya,KEN,2000,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100
Kenya,KEN,1995,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100
Kenya,KEN,1990,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,100
Kenya,KEN,2020,Population density (people per sq. km of land area),EN.POP.DNST,94.47816003
Kenya,KEN,2019,Population density (people per sq. km of land area),EN.POP.DNST,92.37440173
Kenya,KEN,2018,Population density (people per sq. km of land area),EN.POP.DNST,90.29864357
Kenya,KEN,2017,Population density (people per sq. km of land area),EN.POP.DNST,88.24040834
Kenya,KEN,2016,Population density (people per sq. km of land area),EN.POP.DNST,86.18535158
Kenya,KEN,2015,Population density (people per sq. km of land area),EN.POP.DNST,84.12400991
Kenya,KEN,2014,Population density (people per sq. km of land area),EN.POP.DNST,82.05373546
Kenya,KEN,2013,Population density (people per sq. km of land area),EN.POP.DNST,79.98029659
Kenya,KEN,2012,Population density (people per sq. km of land area),EN.POP.DNST,77.91311277
Kenya,KEN,2011,Population density (people per sq. km of land area),EN.POP.DNST,75.86581509
Kenya,KEN,2010,Population density (people per sq. km of land area),EN.POP.DNST,73.8494641
Kenya,KEN,2009,Population density (people per sq. km of land area),EN.POP.DNST,71.86596971
Kenya,KEN,2008,Population density (people per sq. km of land area),EN.POP.DNST,69.91598552
Kenya,KEN,2007,Population density (people per sq. km of land area),EN.POP.DNST,68.00775556
Kenya,KEN,2006,Population density (people per sq. km of land area),EN.POP.DNST,66.15075201
Kenya,KEN,2005,Population density (people per sq. km of land area),EN.POP.DNST,64.35129669
Kenya,KEN,2004,Population density (people per sq. km of land area),EN.POP.DNST,62.61248023
Kenya,KEN,2003,Population density (people per sq. km of land area),EN.POP.DNST,60.93189901
Kenya,KEN,2002,Population density (people per sq. km of land area),EN.POP.DNST,59.30306427
Kenya,KEN,2001,Population density (people per sq. km of land area),EN.POP.DNST,57.71614893
Kenya,KEN,2000,Population density (people per sq. km of land area),EN.POP.DNST,56.16290719
Kenya,KEN,1999,Population density (people per sq. km of land area),EN.POP.DNST,54.64167516
Kenya,KEN,1998,Population density (people per sq. km of land area),EN.POP.DNST,53.15122465
Kenya,KEN,1997,Population density (people per sq. km of land area),EN.POP.DNST,51.68440103
Kenya,KEN,1996,Population density (people per sq. km of land area),EN.POP.DNST,50.23273008
Kenya,KEN,1995,Population density (people per sq. km of land area),EN.POP.DNST,48.78992339
Kenya,KEN,1994,Population density (people per sq. km of land area),EN.POP.DNST,47.35303792
Kenya,KEN,1993,Population density (people per sq. km of land area),EN.POP.DNST,45.92229856
Kenya,KEN,1992,Population density (people per sq. km of land area),EN.POP.DNST,44.49885793
Kenya,KEN,1991,Population density (people per sq. km of land area),EN.POP.DNST,43.08555716
Kenya,KEN,1990,Population density (people per sq. km of land area),EN.POP.DNST,41.68495274
Kenya,KEN,1989,Population density (people per sq. km of land area),EN.POP.DNST,40.29779668
Kenya,KEN,1988,Population density (people per sq. km of land area),EN.POP.DNST,38.92484275
Kenya,KEN,1987,Population density (people per sq. km of land area),EN.POP.DNST,37.56915873
Kenya,KEN,1986,Population density (people per sq. km of land area),EN.POP.DNST,36.23459957
Kenya,KEN,1985,Population density (people per sq. km of land area),EN.POP.DNST,34.92476016
Kenya,KEN,1984,Population density (people per sq. km of land area),EN.POP.DNST,33.6409372
Kenya,KEN,1983,Population density (people per sq. km of land area),EN.POP.DNST,32.38528306
Kenya,KEN,1982,Population density (people per sq. km of land area),EN.POP.DNST,31.16337984
Kenya,KEN,1981,Population density (people per sq. km of land area),EN.POP.DNST,29.98184981
Kenya,KEN,1980,Population density (people per sq. km of land area),EN.POP.DNST,28.84563201
Kenya,KEN,1979,Population density (people per sq. km of land area),EN.POP.DNST,27.7572671
Kenya,KEN,1978,Population density (people per sq. km of land area),EN.POP.DNST,26.716416
Kenya,KEN,1977,Population density (people per sq. km of land area),EN.POP.DNST,25.72106512
Kenya,KEN,1976,Population density (people per sq. km of land area),EN.POP.DNST,24.76764592
Kenya,KEN,1975,Population density (people per sq. km of land area),EN.POP.DNST,23.85335418
Kenya,KEN,1974,Population density (people per sq. km of land area),EN.POP.DNST,22.97737112
Kenya,KEN,1973,Population density (people per sq. km of land area),EN.POP.DNST,22.14006923
Kenya,KEN,1972,Population density (people per sq. km of land area),EN.POP.DNST,21.34109358
Kenya,KEN,1971,Population density (people per sq. km of land area),EN.POP.DNST,20.58025442
Kenya,KEN,1970,Population density (people per sq. km of land area),EN.POP.DNST,19.85696665
Kenya,KEN,1969,Population density (people per sq. km of land area),EN.POP.DNST,19.17046245
Kenya,KEN,1968,Population density (people per sq. km of land area),EN.POP.DNST,18.51900938
Kenya,KEN,1967,Population density (people per sq. km of land area),EN.POP.DNST,17.89979091
Kenya,KEN,1966,Population density (people per sq. km of land area),EN.POP.DNST,17.30936676
Kenya,KEN,1965,Population density (people per sq. km of land area),EN.POP.DNST,16.74484837
Kenya,KEN,1964,Population density (people per sq. km of land area),EN.POP.DNST,16.20461046
Kenya,KEN,1963,Population density (people per sq. km of land area),EN.POP.DNST,15.68772183
Kenya,KEN,1962,Population density (people per sq. km of land area),EN.POP.DNST,15.19310187
