"","median","mean","min","max","std","NaN_count","Data_completion","Potential_outlier"
"X",31.5,31.5,1,62,18.0416185526687,0,1,0
"year",1990.5,1990.5,1960,2021,18.0416185526687,0,1,0
"Literacy.rate..youth..ages.15.24...gender.parity.index..GPI..x",0.9880599975,0.9906950145,0.981100023,1.00556004,0.0106709497571956,58,0.0645161290322581,0
"School.enrollment..primary..gross...gender.parity.index..GPI..x",0.956684977,0.934920949619048,0.73417002,1.008249998,0.0682361658470224,20,0.67741935483871,1
"School.enrollment..primary.and.secondary..gross...gender.parity.index..GPI..x",0.9082050025,0.884472308192308,0.671800017,0.970409989,0.0908970189515644,36,0.419354838709677,1
"School.enrollment..secondary..gross...gender.parity.index..GPI..x",0.7892700135,0.772875388115385,0.454039991,1.014660001,0.168800576860728,36,0.419354838709677,1
"School.enrollment..tertiary..gross...gender.parity.index..GPI..x",0.5656900105,0.573721672166667,0.351550013,0.737129986,0.124653476798046,50,0.193548387096774,1
"Proportion.of.seats.held.by.women.in.national.parliaments.....x",9.821428571,11.67241397068,2.97029703,21.7765043,7.24748066123386,37,0.403225806451613,1
"Prevalence.of.HIV..female....ages.15.24..x",3.8,5.23870967741935,2.1,10.4,2.77952962679597,31,0.5,1
"Prevalence.of.HIV..male....ages.15.24..x",1.5,1.92903225806452,1.2,3.6,0.792966392052482,31,0.5,1
"Vulnerable.employment..female....of.female.employment...modeled.ILO.estimate..x",72.36999893,70.1279311351724,57.13000107,77.08000183,5.8787298486839,33,0.467741935483871,1
"Vulnerable.employment..male....of.male.employment...modeled.ILO.estimate..x",46.34999943,47.7137932448276,41.38000011,57.28999901,5.10888586989987,33,0.467741935483871,0
"Children.in.employment..female....of.female.children.ages.7.14..x",33.92144738,25.1738157933333,6.4,35.2,16.2711644875847,59,0.0483870967741935,0
"Children.in.employment..male....of.male.children.ages.7.14..x",34.94167101,27.3138903366667,6.9,40.1,17.8660929836481,59,0.0483870967741935,0
"Children.in.employment..study.and.work..female....of.female.children.in.employment..ages.7.14..x",68.22243474,68.8074782466667,53.1,85.1,16.0080200814629,59,0.0483870967741935,0
"Children.in.employment..study.and.work..male....of.male.children.in.employment..ages.7.14..x",66.84036335,69.9801211166667,56.5,86.6,15.2936607496377,59,0.0483870967741935,0
"Children.in.employment..study.and.work....of.children.in.employment..ages.7.14..x",67.51094774,69.53698258,55.2,85.9,15.4499551093092,59,0.0483870967741935,0
"Children.in.employment..work.only..female....of.female.children.in.employment..ages.7.14..x",31.77756526,31.1925217533333,14.9,46.9,16.0080200814629,59,0.0483870967741935,0
"Children.in.employment..work.only..male....of.male.children.in.employment..ages.7.14..x",33.15963665,30.0198788833333,13.4,43.5,15.2936607496377,59,0.0483870967741935,0
"Children.in.employment..work.only....of.children.in.employment..ages.7.14..x",32.48905226,30.46301742,14.1,44.8,15.4499551093092,59,0.0483870967741935,0
"Children.in.employment..total....of.children.ages.7.14..x",34.43888617,26.2796287233333,6.7,37.7,17.0346738025927,59,0.0483870967741935,0
"Labor.force.participation.rate.for.ages.15.24..female......modeled.ILO.estimate..x",49.37799835,48.8765160341935,41.30699921,55.2179985,4.22356068699528,31,0.5,0
"Labor.force.participation.rate.for.ages.15.24..male......modeled.ILO.estimate..x",47.99599838,48.2458708980645,42.23099899,54.68600082,2.80574948711665,31,0.5,0
"Labor.force.participation.rate.for.ages.15.24..total......modeled.ILO.estimate..x",48.68899918,48.5618063396774,41.77000046,54.95299911,3.42925191533531,31,0.5,0
"Labor.force.participation.rate..female....of.female.population.ages.15.64...modeled.ILO.estimate..x",70.75,68.6943333333333,60.65,72.41,3.50767993205582,32,0.483870967741935,1
"Labor.force.participation.rate..male....of.male.population.ages.15.64...modeled.ILO.estimate..x",75.635,75.2916666666667,70.36,78.57,2.29597561463281,32,0.483870967741935,0
"Labor.force.participation.rate..total....of.total.population.ages.15.64...modeled.ILO.estimate..x",73.07,71.9536666666667,65.45,75.3,2.8251865770958,32,0.483870967741935,0
"Labor.force.participation.rate..female....of.female.population.ages.15....modeled.ILO.estimate..x",70.812999725,70.733156204375,69.44799805,72.08599854,0.654657486290837,30,0.516129032258065,0
"Labor.force.participation.rate..male....of.male.population.ages.15....modeled.ILO.estimate..x",75.9394989,75.92187523875,74.4240036,77.47799683,0.873513426557927,30,0.516129032258065,0
"Unemployment..female....of.female.labor.force...modeled.ILO.estimate..x",3.246999979,3.50332254751613,2.944999933,6.093999863,0.815478896976746,31,0.5,1
"Unemployment..male....of.male.labor.force...modeled.ILO.estimate..x",2.750999928,3.01941935474194,2.584000111,5.477000237,0.78445207169174,31,0.5,1
