"","year","Grants, excluding technical cooperation (BoP, current US$)","Technical cooperation grants (BoP, current US$)","Net bilateral aid flows from DAC donors, Australia (current US$)","Net bilateral aid flows from DAC donors, Austria (current US$)","Net bilateral aid flows from DAC donors, Belgium (current US$)","Net bilateral aid flows from DAC donors, Canada (current US$)","Net bilateral aid flows from DAC donors, European Union institutions (current US$)","Net bilateral aid flows from DAC donors, Switzerland (current US$)","Net bilateral aid flows from DAC donors, Czech Republic (current US$)","Net bilateral aid flows from DAC donors, Germany (current US$)","Net bilateral aid flows from DAC donors, Denmark (current US$)","Net bilateral aid flows from DAC donors, Spain (current US$)","Net bilateral aid flows from DAC donors, Finland (current US$)","Net bilateral aid flows from DAC donors, France (current US$)","Net bilateral aid flows from DAC donors, United Kingdom (current US$)","Net bilateral aid flows from DAC donors, Greece (current US$)","Net bilateral aid flows from DAC donors, Hungary (current US$)","Net bilateral aid flows from DAC donors, Ireland (current US$)","Net bilateral aid flows from DAC donors, Iceland (current US$)","Net bilateral aid flows from DAC donors, Italy (current US$)","Net bilateral aid flows from DAC donors, Japan (current US$)","Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)","Net bilateral aid flows from DAC donors, Luxembourg (current US$)","Net bilateral aid flows from DAC donors, Netherlands (current US$)","Net bilateral aid flows from DAC donors, Norway (current US$)","Net bilateral aid flows from DAC donors, New Zealand (current US$)","Net bilateral aid flows from DAC donors, Poland (current US$)","Net bilateral aid flows from DAC donors, Portugal (current US$)","Net bilateral aid flows from DAC donors, Slovak Republic (current US$)","Net bilateral aid flows from DAC donors, Slovenia (current US$)","Net bilateral aid flows from DAC donors, Sweden (current US$)","Net bilateral aid flows from DAC donors, Total (current US$)","Net bilateral aid flows from DAC donors, United States (current US$)","Net official flows from UN agencies, FAO (current US$)","Net official flows from UN agencies, IAEA (current US$)","Net official flows from UN agencies, IFAD (current US$)","Net official flows from UN agencies, ILO (current US$)","Net official flows from UN agencies, UNAIDS (current US$)","Net official flows from UN agencies, UNICEF (current US$)","Net official flows from UN agencies, UNHCR (current US$)","Net official flows from UN agencies, UNDP (current US$)","Net official flows from UN agencies, UNFPA (current US$)","Net official flows from UN agencies, UNPBF (current US$)","Net official flows from UN agencies, UNTA (current US$)","Net official flows from UN agencies, WFP (current US$)","Net official flows from UN agencies, WHO (current US$)","Net official development assistance and official aid received (current US$)","Net official development assistance and official aid received (constant 2018 US$)","Net official development assistance received (current US$)","Net ODA received (% of gross capital formation)","Net ODA received (% of GNI)","Net official development assistance received (constant 2018 US$)","Net ODA received (% of imports of goods, services and primary income)","Net ODA received per capita (current US$)","Net ODA received (% of central government expense)","School enrollment, primary and secondary (gross), gender parity index (GPI)","Primary completion rate, total (% of relevant age group)","Prevalence of HIV, total (% of population ages 15-49)","Mortality rate, under-5 (per 1,000 live births)","Pregnant women receiving prenatal care (%)","Maternal mortality ratio (modeled estimate, per 100,000 live births)","Prevalence of stunting, height for age (% of children under 5)","Incidence of tuberculosis (per 100,000 people)","Income share held by lowest 20%","Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)","Vulnerable employment, total (% of total employment) (modeled ILO estimate)","Net migration"
"1",1960,3950000,480000,NA,NA,NA,9999.999776,NA,NA,NA,9999.999776,NA,NA,NA,NA,20120000.84,NA,NA,NA,NA,9999.999776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20630000.83,479999.9893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21110000.61,207289993.3,21110000.61,NA,2.759623109,207289993.3,NA,2.599727516,NA,NA,NA,NA,197.2,NA,NA,NA,NA,NA,NA,NA,NA
"2",1961,33610000,290000,NA,NA,NA,39999.99911,NA,NA,NA,29999.99933,NA,NA,NA,NA,56869998.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62939998.93,6e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63229999.54,588099975.6,63229999.54,NA,8.208409225,588099975.6,NA,7.547423801,NA,NA,NA,NA,189.1,NA,NA,NA,NA,NA,NA,NA,NA
"3",1962,35240000,870000,NA,NA,NA,100000.0015,NA,NA,NA,9999.999776,NA,NA,NA,NA,43139999.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48249999.39,5e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49119998.93,438619995.1,49119998.93,NA,5.812842158,438619995.1,NA,5.680581424,NA,NA,NA,NA,182,NA,NA,NA,NA,NA,NA,NA,-20000
"4",1963,32320000,920000,NA,NA,NA,289999.9917,NA,19999.99955,NA,3430000.067,NA,NA,NA,NA,47849998.47,NA,NA,NA,NA,NA,19999.99955,NA,NA,NA,NA,NA,NA,NA,NA,NA,59999.99866,54669998.53,3e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55590000.15,489109985.4,55590000.15,NA,6.184146067,489109985.4,NA,6.226122853,NA,NA,NA,NA,175.9,NA,NA,NA,NA,NA,NA,NA,NA
"5",1964,27350000,2220000,NA,9999.999776,NA,349999.994,NA,19999.99955,NA,4449999.809,NA,NA,NA,NA,47959999.08,NA,NA,NA,NA,39999.99911,219999.9988,NA,NA,NA,19999.99955,NA,NA,NA,NA,NA,119999.9973,56189998.88,3e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56709999.08,482290008.5,56709999.08,43.46261169,5.852283329,482290008.5,NA,6.148963782,NA,NA,NA,NA,170.9,NA,NA,NA,NA,NA,NA,NA,NA
"6",1965,36780000,2090000,79999.99821,-9999.999776,NA,699999.9881,NA,9999.999776,NA,1509999.99,219999.9988,NA,NA,NA,53250000,NA,NA,NA,NA,129999.9952,159999.9964,NA,NA,140000.0006,159999.9964,NA,NA,NA,NA,NA,370000.0048,69339999.85,12619999.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72129997.25,567020019.5,72129997.25,50.21583064,7.421702983,567020019.5,NA,7.568600585,NA,NA,NA,NA,166.9,NA,NA,NA,NA,NA,NA,NA,NA
"7",1966,8580000,16400000,90000.00358,NA,NA,1009999.99,NA,9999.999776,NA,4159999.847,119999.9973,NA,NA,NA,31139999.39,NA,NA,NA,NA,NA,189999.9976,NA,NA,NA,330000.0131,NA,NA,NA,NA,NA,NA,51509999.28,14460000.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55409999.85,399589996.3,55409999.85,25.56756278,4.903194039,399589996.3,NA,5.624551003,NA,NA,NA,NA,163.5,NA,NA,NA,NA,NA,NA,NA,NA
"8",1967,4350000,21840000,180000.0072,9999.999776,29999.99933,1070000.052,NA,19999.99955,NA,2039999.962,270000.0107,NA,NA,NA,20610000.61,NA,NA,NA,NA,400000.006,330000.0131,NA,NA,1460000.038,689999.9976,NA,NA,NA,NA,NA,2690000.057,31900000.66,2099999.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36709999.08,273399993.9,36709999.08,14.76432344,3.074386064,273399993.9,NA,3.603440091,NA,NA,NA,NA,160.4,NA,NA,NA,NA,NA,NA,NA,-19535
"9",1968,6130000,21620000,140000.0006,NA,29999.99933,1370000.005,NA,29999.99933,NA,3599999.905,730000.0191,NA,NA,NA,23930000.31,NA,NA,NA,NA,119999.9973,400000.006,NA,NA,70000.0003,1639999.986,NA,NA,NA,NA,NA,3559999.943,42200000.09,6579999.924,NA,NA,NA,NA,NA,NA,NA,2109999.895,NA,NA,NA,NA,NA,60709999.08,442470001.2,60709999.08,22.37580105,4.621314554,442470001.2,NA,5.760011693,NA,NA,NA,NA,157.4,NA,NA,NA,NA,NA,NA,NA,NA
"10",1969,3540000,24330000,100000.0015,219999.9988,29999.99933,1570000.052,NA,100000.0015,NA,2069999.933,1139999.986,NA,NA,NA,23290000.92,NA,NA,NA,NA,209999.9934,779999.9714,NA,NA,209999.9934,3420000.076,NA,NA,NA,NA,NA,3730000.019,42870000.94,6e+06,NA,NA,NA,NA,NA,NA,NA,2650000.095,NA,NA,319999.9928,NA,NA,55810001.37,400850006.1,55810001.37,19.75436208,3.89767468,400850006.1,NA,5.115173089,NA,NA,NA,NA,154.2,NA,NA,NA,NA,NA,NA,NA,NA
